Imagen,Clase
datosTarea03Ejercicio2/train/brocoli_001_003.jpg,1
datosTarea03Ejercicio2/train/brocoli_001_004.jpg,1
datosTarea03Ejercicio2/train/brocoli_001_005.jpg,1
datosTarea03Ejercicio2/train/brocoli_001_006.jpg,1
datosTarea03Ejercicio2/train/brocoli_001_007.jpg,1
datosTarea03Ejercicio2/train/brocoli_001_008.jpg,1
datosTarea03Ejercicio2/train/brocoli_001_009.jpg,1
datosTarea03Ejercicio2/train/brocoli_001_010.jpg,1
datosTarea03Ejercicio2/train/brocoli_001_011.jpg,1
datosTarea03Ejercicio2/train/brocoli_001_012.jpg,1
datosTarea03Ejercicio2/train/brocoli_001_013.jpg,1
datosTarea03Ejercicio2/train/brocoli_001_014.jpg,1
datosTarea03Ejercicio2/train/brocoli_001_015.jpg,1
datosTarea03Ejercicio2/train/brocoli_001_016.jpg,1
datosTarea03Ejercicio2/train/brocoli_001_017.jpg,1
datosTarea03Ejercicio2/train/brocoli_001_018.jpg,1
datosTarea03Ejercicio2/train/brocoli_001_019.jpg,1
datosTarea03Ejercicio2/train/brocoli_001_020.jpg,1
datosTarea03Ejercicio2/train/brocoli_001_021.jpg,1
datosTarea03Ejercicio2/train/brocoli_001_022.jpg,1
datosTarea03Ejercicio2/train/brocoli_001_023.jpg,1
datosTarea03Ejercicio2/train/brocoli_001_024.jpg,1
datosTarea03Ejercicio2/train/brocoli_001_025.jpg,1
datosTarea03Ejercicio2/train/brocoli_001_026.jpg,1
datosTarea03Ejercicio2/train/brocoli_001_027.jpg,1
datosTarea03Ejercicio2/train/brocoli_002_002.jpg,1
datosTarea03Ejercicio2/train/brocoli_002_003.jpg,1
datosTarea03Ejercicio2/train/brocoli_002_004.jpg,1
datosTarea03Ejercicio2/train/brocoli_002_005.jpg,1
datosTarea03Ejercicio2/train/brocoli_002_006.jpg,1
datosTarea03Ejercicio2/train/brocoli_002_007.jpg,1
datosTarea03Ejercicio2/train/brocoli_002_008.jpg,1
datosTarea03Ejercicio2/train/brocoli_002_009.jpg,1
datosTarea03Ejercicio2/train/brocoli_002_010.jpg,1
datosTarea03Ejercicio2/train/brocoli_002_011.jpg,1
datosTarea03Ejercicio2/train/brocoli_002_012.jpg,1
datosTarea03Ejercicio2/train/brocoli_002_013.jpg,1
datosTarea03Ejercicio2/train/brocoli_002_014.jpg,1
datosTarea03Ejercicio2/train/brocoli_002_015.jpg,1
datosTarea03Ejercicio2/train/brocoli_002_016.jpg,1
datosTarea03Ejercicio2/train/brocoli_002_017.jpg,1
datosTarea03Ejercicio2/train/brocoli_002_018.jpg,1
datosTarea03Ejercicio2/train/brocoli_002_019.jpg,1
datosTarea03Ejercicio2/train/brocoli_002_020.jpg,1
datosTarea03Ejercicio2/train/brocoli_002_021.jpg,1
datosTarea03Ejercicio2/train/brocoli_002_022.jpg,1
datosTarea03Ejercicio2/train/brocoli_002_023.jpg,1
datosTarea03Ejercicio2/train/brocoli_002_024.jpg,1
datosTarea03Ejercicio2/train/brocoli_002_025.jpg,1
datosTarea03Ejercicio2/train/brocoli_002_026.jpg,1
datosTarea03Ejercicio2/train/brocoli_003_003.jpg,1
datosTarea03Ejercicio2/train/brocoli_003_004.jpg,1
datosTarea03Ejercicio2/train/brocoli_003_005.jpg,1
datosTarea03Ejercicio2/train/brocoli_003_006.jpg,1
datosTarea03Ejercicio2/train/brocoli_003_007.jpg,1
datosTarea03Ejercicio2/train/brocoli_003_008.jpg,1
datosTarea03Ejercicio2/train/brocoli_003_009.jpg,1
datosTarea03Ejercicio2/train/brocoli_003_010.jpg,1
datosTarea03Ejercicio2/train/brocoli_003_011.jpg,1
datosTarea03Ejercicio2/train/brocoli_003_012.jpg,1
datosTarea03Ejercicio2/train/brocoli_003_013.jpg,1
datosTarea03Ejercicio2/train/brocoli_003_014.jpg,1
datosTarea03Ejercicio2/train/brocoli_003_015.jpg,1
datosTarea03Ejercicio2/train/brocoli_003_016.jpg,1
datosTarea03Ejercicio2/train/brocoli_003_017.jpg,1
datosTarea03Ejercicio2/train/brocoli_003_018.jpg,1
datosTarea03Ejercicio2/train/brocoli_003_019.jpg,1
datosTarea03Ejercicio2/train/brocoli_003_020.jpg,1
datosTarea03Ejercicio2/train/brocoli_003_021.jpg,1
datosTarea03Ejercicio2/train/brocoli_003_022.jpg,1
datosTarea03Ejercicio2/train/brocoli_003_023.jpg,1
datosTarea03Ejercicio2/train/brocoli_003_024.jpg,1
datosTarea03Ejercicio2/train/brocoli_003_025.jpg,1
datosTarea03Ejercicio2/train/brocoli_003_026.jpg,1
datosTarea03Ejercicio2/train/brocoli_004_002.jpg,1
datosTarea03Ejercicio2/train/brocoli_004_003.jpg,1
datosTarea03Ejercicio2/train/brocoli_004_005.jpg,1
datosTarea03Ejercicio2/train/brocoli_004_006.jpg,1
datosTarea03Ejercicio2/train/brocoli_004_008.jpg,1
datosTarea03Ejercicio2/train/brocoli_004_009.jpg,1
datosTarea03Ejercicio2/train/brocoli_004_010.jpg,1
datosTarea03Ejercicio2/train/brocoli_004_011.jpg,1
datosTarea03Ejercicio2/train/brocoli_004_012.jpg,1
datosTarea03Ejercicio2/train/brocoli_004_013.jpg,1
datosTarea03Ejercicio2/train/brocoli_004_014.jpg,1
datosTarea03Ejercicio2/train/brocoli_004_015.jpg,1
datosTarea03Ejercicio2/train/brocoli_004_016.jpg,1
datosTarea03Ejercicio2/train/brocoli_004_018.jpg,1
datosTarea03Ejercicio2/train/brocoli_004_019.jpg,1
datosTarea03Ejercicio2/train/brocoli_004_020.jpg,1
datosTarea03Ejercicio2/train/brocoli_004_021.jpg,1
datosTarea03Ejercicio2/train/brocoli_004_022.jpg,1
datosTarea03Ejercicio2/train/brocoli_004_023.jpg,1
datosTarea03Ejercicio2/train/brocoli_004_024.jpg,1
datosTarea03Ejercicio2/train/brocoli_004_025.jpg,1
datosTarea03Ejercicio2/train/brocoli_004_026.jpg,1
datosTarea03Ejercicio2/train/brocoli_005_001.jpg,1
datosTarea03Ejercicio2/train/brocoli_005_002.jpg,1
datosTarea03Ejercicio2/train/brocoli_005_003.jpg,1
datosTarea03Ejercicio2/train/brocoli_005_004.jpg,1
datosTarea03Ejercicio2/train/brocoli_005_005.jpg,1
datosTarea03Ejercicio2/train/brocoli_005_006.jpg,1
datosTarea03Ejercicio2/train/brocoli_005_008.jpg,1
datosTarea03Ejercicio2/train/brocoli_005_009.jpg,1
datosTarea03Ejercicio2/train/brocoli_005_010.jpg,1
datosTarea03Ejercicio2/train/brocoli_005_011.jpg,1
datosTarea03Ejercicio2/train/brocoli_005_012.jpg,1
datosTarea03Ejercicio2/train/brocoli_005_013.jpg,1
datosTarea03Ejercicio2/train/brocoli_005_014.jpg,1
datosTarea03Ejercicio2/train/brocoli_005_015.jpg,1
datosTarea03Ejercicio2/train/brocoli_005_016.jpg,1
datosTarea03Ejercicio2/train/brocoli_005_017.jpg,1
datosTarea03Ejercicio2/train/brocoli_005_018.jpg,1
datosTarea03Ejercicio2/train/brocoli_005_019.jpg,1
datosTarea03Ejercicio2/train/brocoli_005_020.jpg,1
datosTarea03Ejercicio2/train/brocoli_005_021.jpg,1
datosTarea03Ejercicio2/train/brocoli_005_022.jpg,1
datosTarea03Ejercicio2/train/brocoli_005_023.jpg,1
datosTarea03Ejercicio2/train/brocoli_005_024.jpg,1
datosTarea03Ejercicio2/train/brocoli_006_002.jpg,1
datosTarea03Ejercicio2/train/brocoli_006_003.jpg,1
